,budget_(in_US-Dollars),revenue_(in_US-Dollars),profit_(in_US_Dollars),original_title,cast,director,tagline,runtime,genres,release_date,release_year
16,48000000,325771424,277771424,Taken 3,Liam Neeson|Forest Whitaker|Maggie Grace|Famke Janssen|Dougray Scott,Olivier Megaton,It Ends Here,109,Crime|Action|Thriller,2015-01-01,2015
17,130000000,518602163,388602163,Ant-Man,Paul Rudd|Michael Douglas|Evangeline Lilly|Corey Stoll|Bobby Cannavale,Peyton Reed,Heroes Don't Get Any Bigger,115,Science Fiction|Action|Adventure,2015-07-14,2015
18,95000000,542351353,447351353,Cinderella,Lily James|Cate Blanchett|Richard Madden|Helena Bonham Carter|Holliday Grainger,Kenneth Branagh,Midnight is just the beginning.,112,Romance|Fantasy|Family|Drama,2015-03-12,2015
19,160000000,650523427,490523427,The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson|Elizabeth Banks,Francis Lawrence,The fire will burn forever.,136,War|Adventure|Science Fiction,2015-11-18,2015
20,190000000,209035668,19035668,Tomorrowland,Britt Robertson|George Clooney|Raffey Cassidy|Thomas Robinson|Hugh Laurie,Brad Bird,Imagine a world where nothing is impossible.,130,Action|Family|Science Fiction|Adventure|Mystery,2015-05-19,2015
21,30000000,91709827,61709827,Southpaw,Jake Gyllenhaal|Rachel McAdams|Forest Whitaker|Oona Laurence|50 Cent,Antoine Fuqua,Believe in Hope.,123,Action|Drama,2015-06-15,2015
22,110000000,470490832,360490832,San Andreas,Dwayne Johnson|Alexandra Daddario|Carla Gugino|Ioan Gruffudd|Archie Panjabi,Brad Peyton,"A rescue pilot survived an earthquake, this is what happens next",114,Action|Drama|Thriller,2015-05-27,2015
23,40000000,569651467,529651467,Fifty Shades of Grey,Dakota Johnson|Jamie Dornan|Jennifer Ehle|Eloise Mumford|Victor Rasuk,Sam Taylor-Johnson,Are you curious?,125,Drama|Romance,2015-02-11,2015
24,28000000,133346506,105346506,The Big Short,Christian Bale|Steve Carell|Ryan Gosling|Brad Pitt|Melissa Leo,Adam McKay,This is a true story.,130,Comedy|Drama,2015-12-11,2015
25,150000000,682330139,532330139,Mission: Impossible - Rogue Nation,Tom Cruise|Jeremy Renner|Simon Pegg|Rebecca Ferguson|Ving Rhames,Christopher McQuarrie,Desperate Times. Desperate Measures.,131,Action,2015-07-23,2015
26,68000000,215863606,147863606,Ted 2,Mark Wahlberg|Seth MacFarlane|Amanda Seyfried|Jessica Barth|Giovanni Ribisi,Seth MacFarlane,"Ted is Coming, Again.",115,Comedy,2015-06-25,2015
27,81000000,403802136,322802136,Kingsman: The Secret Service,Taron Egerton|Colin Firth|Samuel L. Jackson|Michael Caine|Mark Strong,Matthew Vaughn,Manners maketh man.,130,Crime|Comedy|Action|Adventure,2015-01-24,2015
28,20000000,88346473,68346473,Spotlight,Mark Ruffalo|Michael Keaton|Rachel McAdams|Liev Schreiber|John Slattery,Tom McCarthy,Break the story. Break the silence.,128,Drama|Thriller|History,2015-11-06,2015
29,61000000,311256926,250256926,Maze Runner: The Scorch Trials,Dylan O'Brien|Kaya Scodelario|Thomas Brodie-Sangster|Giancarlo Esposito|Aidan Gillen,Wes Ball,The Maze Was Just the Beginning.,132,Action|Science Fiction|Thriller,2015-09-09,2015
31,49000000,102069268,53069268,Chappie,Sharlto Copley|Dev Patel|Ninja|Yolandi Visser|Jose Pablo Cantillo,Neill Blomkamp,I am consciousness. I am alive. I am Chappie.,120,Crime|Action|Science Fiction,2015-03-04,2015
32,29000000,287506194,258506194,Pitch Perfect 2,Anna Kendrick|Rebel Wilson|Hailee Steinfeld|Brittany Snow|Skylar Astin,Elizabeth Banks,We're back pitches,115,Comedy|Music,2015-05-07,2015
33,40000000,162610473,122610473,Bridge of Spies,Tom Hanks|Mark Rylance|Amy Ryan|Alan Alda|Sebastian Koch,Steven Spielberg,"In the shadow of war, one man showed the world what we stood for.",141,Thriller|Drama,2015-10-15,2015
34,58000000,150170815,92170815,Goosebumps,Jack Black|Dylan Minnette|Odeya Rush|Amy Ryan|Jillian Bell,Rob Letterman,The stories are alive.,103,Adventure|Horror|Comedy,2015-08-05,2015
35,6000000,35401758,29401758,Room,Brie Larson|Jacob Tremblay|Joan Allen|Sean Bridgers|William H. Macy,Lenny Abrahamson,Love knows no boundaries,117,Drama|Thriller,2015-10-16,2015
37,175000000,331926147,156926147,The Good Dinosaur,Raymond Ochoa|Jack Bright|Jeffrey Wright|Frances McDormand|Maleah Nipay-Padilla,Peter Sohn,Little Arms With Big Attitude,93,Adventure|Animation|Comedy|Family|Fantasy,2015-11-14,2015
38,50000000,71561644,21561644,Run All Night,Liam Neeson|Ed Harris|Joel Kinnaman|Boyd Holbrook|Bruce McGill,Jaume Collet-Serra,No sin goes unpunished,114,Action|Crime|Drama|Mystery|Thriller,2015-03-11,2015
39,11000000,62076141,51076141,Brooklyn,Saoirse Ronan|Domhnall Gleeson|Emory Cohen|Emily Bett Rickards|Eileen O'Higgins,John Crowley,"Two countries, two loves, one heart",111,Drama|Romance,2015-11-04,2015
40,28000000,201634991,173634991,Straight Outta Compton,O'Shea Jackson Jr.|Corey Hawkins|Jason Mitchell|Neil Brown Jr.|Aldis Hodge,F. Gary Gray,The Story of N.W.A.,147,Drama|Music,2015-08-13,2015
41,90000000,140396650,50396650,The Last Witch Hunter,Vin Diesel|Rose Leslie|Michael Caine|Elijah Wood|Ã“lafur Darri Ã“lafsson,Breck Eisner,Hunt forever.,106,Fantasy|Action|Adventure,2015-10-21,2015
42,30000000,34441873,4441873,Steve Jobs,Michael Fassbender|Kate Winslet|Seth Rogen|Katherine Waterston|Jeff Daniels,Danny Boyle,,122,History|Drama,2015-10-09,2015
43,75000000,108145109,33145109,The Man from U.N.C.L.E.,Henry Cavill|Armie Hammer|Alicia Vikander|Elizabeth Debicki|Luca Calvani,Guy Ritchie,Saving the world never goes out of style.,116,Comedy|Action|Adventure,2015-08-13,2015
44,25000000,42629776,17629776,The Age of Adaline,Blake Lively|Michiel Huisman|Harrison Ford|Ellen Burstyn|Kathy Baker,Lee Toland Krieger,Love is timeless.,112,Fantasy|Drama|Romance,2015-04-16,2015
45,10000000,14333790,4333790,Hardcore Henry,Sharlto Copley|Haley Bennett|Danila Kozlovskiy|Tim Roth|Andrei Dementiev,Ilya Naishuller,First they made him dangerous. Then they made him mad.,97,Action|Adventure|Science Fiction,2015-09-12,2015
46,135000000,368871007,233871007,Home,Jim Parsons|Rihanna|Steve Martin|Jennifer Lopez|Matt Jones,Tim Johnson,Worlds Collide,94,Fantasy|Comedy|Animation|Science Fiction|Family,2015-03-18,2015
47,12000000,85512300,73512300,Paper Towns,Nat Wolff|Cara Delevingne|Halston Sage|Justice Smith|Austin Abrams,Jake Schreier,Get Lost. Get Found.,109,Drama|Mystery|Romance,2015-07-09,2015
49,4000000,9064511,5064511,The Lobster,Colin Farrell|Rachel Weisz|LÃ©a Seydoux|John C. Reilly|Ben Whishaw,Yorgos Lanthimos,An unconventional love story...,118,Thriller|Comedy|Drama|Romance|Science Fiction,2015-10-08,2015
50,11800000,40272135,28472135,Carol,Cate Blanchett|Rooney Mara|Kyle Chandler|Sarah Paulson|Jake Lacy,Todd Haynes,Some people change your life forever.,118,Romance|Drama,2015-11-20,2015
51,35000000,194564672,159564672,The Intern,Robert De Niro|Anne Hathaway|Rene Russo|Anders Holm|JoJo Kushner,Nancy Meyers,Experience never gets old,121,Comedy,2015-09-24,2015
52,55000000,203427584,148427584,Everest,Jason Clarke|Jake Gyllenhaal|Josh Brolin|John Hawkes|Sam Worthington,Baltasar KormÃ¡kur,The Storm Awaits.,121,Adventure|Drama,2015-09-10,2015
53,60000000,101134059,41134059,Joy,Jennifer Lawrence|Bradley Cooper|Robert De Niro|Dascha Polanco|Edgar RamÃ­rez,David O. Russell,,124,Comedy|Drama,2015-12-24,2015
54,105000000,133718711,28718711,Point Break,Edgar RamÃ­rez|Luke Bracey|Teresa Palmer|Delroy Lindo|Ray Winstone,Ericson Core,The only law that matters is gravity,114,Action|Crime|Thriller,2015-12-03,2015
55,20000000,36606743,16606743,Burnt,Bradley Cooper|Sienna Miller|Lily James|Alicia Vikander|Uma Thurman,John Wells,Never underestimate a man with everything to lose.,100,Drama,2015-10-02,2015
56,26000000,30523226,4523226,Self/less,Ryan Reynolds|Ben Kingsley|Natalie Martinez|Matthew Goode|Michelle Dockery,Tarsem Singh,God Created Man. Man Created Immortality.,116,Science Fiction|Mystery|Thriller,2015-07-10,2015
57,60000000,30418560,-29581440,Mortdecai,Johnny Depp|Gwyneth Paltrow|Ewan McGregor|Paul Bettany|Olivia Munn,David Koepp,Sophistication Has a Name.,106,Comedy|Adventure,2015-01-21,2015
58,15000000,64191523,49191523,The Danish Girl,Eddie Redmayne|Alicia Vikander|Matthias Schoenaerts|Amber Heard|Ben Whishaw,Tom Hooper,Find the courage to be yourself.,120,Drama,2015-11-27,2015
59,70000000,17752940,-52247060,Blackhat,Chris Hemsworth|Leehom Wang|Tang Wei|Viola Davis|Holt McCallany,Michael Mann,We are no longer in control.,133,Mystery|Crime|Action|Thriller|Drama,2015-01-13,2015
60,30000000,84025816,54025816,Sicario,Emily Blunt|Benicio del Toro|Josh Brolin|Victor Garber|Jon Bernthal,Denis Villeneuve,The border is just another line to cross.,121,Action|Crime|Drama|Mystery|Thriller,2015-09-17,2015
61,120000001,167977596,47977595,Fantastic Four,Miles Teller|Kate Mara|Michael B. Jordan|Jamie Bell|Toby Kebbell,Josh Trank,Change is coming.,100,Action|Adventure|Science Fiction,2015-08-05,2015
62,3500000,40423945,36923945,The Witch,Anya Taylor-Joy|Ralph Ineson|Kate Dickie|Harvey Scrimshaw|Ellie Grainger,Robert Eggers,Evil takes many forms.,92,Mystery|Horror,2015-03-24,2015
63,65000000,235666219,170666219,Spy,Melissa McCarthy|Jason Statham|Rose Byrne|Miranda Hart|Bobby Cannavale,Paul Feig,One of the guys. One of the Spies.,120,Action|Comedy|Crime,2015-05-06,2015
64,50100000,153962963,103862963,Focus,Will Smith|Margot Robbie|Rodrigo Santoro|Robert Taylor|Gerald McRaney,Glenn Ficarra|John Requa,Never Drop The Con.,105,Romance|Comedy|Crime|Drama,2015-02-25,2015
65,35000000,82347656,47347656,Hitman: Agent 47,Rupert Friend|Zachary Quinto|Hannah Ware|Emilio Rivera|Rolf Kanies,Aleksander Bach,Your Number is Up.,96,Action|Crime|Thriller,2015-08-20,2015
66,100000000,93820758,-6179242,In the Heart of the Sea,Chris Hemsworth|Benjamin Walker|Cillian Murphy|Brendan Gleeson|Ben Whishaw,Ron Howard,Based on the incredible true story that inspired Moby Dick,122,Thriller|Drama|Adventure|Action|History,2015-11-20,2015
68,35000000,137935567,102935567,Creed,Michael B. Jordan|Sylvester Stallone|Graham McTavish|Tessa Thompson|Phylicia RashÄd,Ryan Coogler,Your legacy is more than a name,133,Drama,2015-11-25,2015
69,35000000,140795793,105795793,Trainwreck,Amy Schumer|Bill Hader|Brie Larson|Colin Quinn|Vanessa Bayer,Judd Apatow,We All Know One.,125,Comedy,2015-07-17,2015
70,13000000,32848185,19848185,Eye in the Sky,Helen Mirren|Aaron Paul|Alan Rickman|Iain Glen|Barkhad Abdi,Gavin Hood,Welcome to the new front line,102,Drama|Thriller|War,2015-09-11,2015
71,25000000,42972994,17972994,Legend,Tom Hardy|Emily Browning|Christopher Eccleston|David Thewlis|Taron Egerton,Brian Helgeland,"Love, fight, live, rule like a legend.",131,Crime|Thriller,2015-09-09,2015
73,150000000,128388320,-21611680,Pan,Levi Miller|Garrett Hedlund|Hugh Jackman|Rooney Mara|Amanda Seyfried,Joe Wright,Every legend has a beginning.,111,Adventure|Family|Fantasy,2015-09-24,2015
76,99000000,246233113,147233113,The Peanuts Movie,Noah Schnapp|Bill Melendez|Venus Schultheis|Hadley Belle Miller|Madisyn Shipman,Steve Martino,The story of an underdog. And his dog.,88,Adventure|Animation|Comedy|Family,2015-11-05,2015
77,35000000,48623572,13623572,Concussion,Will Smith|Bitsie Tulloch|Gugu Mbatha-Raw|Alec Baldwin|Matthew Willig,Peter Landesman,Even Legends Need a Hero,123,Drama,2015-11-12,2015
78,25000000,52395996,27395996,The Night Before,Joseph Gordon-Levitt|Seth Rogen|Anthony Mackie|Lizzy Caplan|Jillian Bell,Jonathan Levine,"Their past, present and future. All in one night.",100,Comedy,2015-11-20,2015
79,2500000,5214043,2714043,Knock Knock,Keanu Reeves|Lorenza Izzo|Ana de Armas|Aaron Burns|Colleen Camp,Eli Roth,One night can cost you everything.,99,Drama|Horror|Thriller,2015-06-26,2015
80,34000000,63013281,29013281,The Longest Ride,Scott Eastwood|Britt Robertson|Lolita Davidovich|Melissa Benoist|Jack Huston,"George Tillman, Jr.",Two couples. Two love stories. One epic tale.,128,Romance|Drama,2015-04-09,2015
81,80000000,466183544,386183544,Hotel Transylvania 2,Adam Sandler|Andy Samberg|Selena Gomez|Kevin James|Steve Buscemi,Genndy Tartakovsky,They're back to raise a little terror,89,Animation|Comedy|Family,2015-09-21,2015
82,17000000,24000000,7000000,Love the Coopers,Steve Martin|Diane Keaton|John Goodman|Alan Arkin|Olivia Wilde,Jessie Nelson,"Christmas means comfort, joy and chaos.",107,Family|Comedy,2015-11-12,2015
83,35000000,61181942,26181942,The Walk,Joseph Gordon-Levitt|Ben Kingsley|Charlotte Le Bon|Ben Schwartz|James Badge Dale,Robert Zemeckis,Dream High.,123,Adventure|Drama|Thriller,2015-09-30,2015
84,11000000,1863315,-9136685,Tracers,Marie Avgeropoulos|Taylor Lautner|Adam Rayner|Rafi Gavron|Sam Medina,Daniel Benmayor,It's not a crime if they can't catch you.,94,Action|Crime|Drama,2015-01-15,2015
85,31000000,104384188,73384188,Vacation,Ed Helms|Christina Applegate|Skyler Gisondo|Steele Stebbins|Chris Hemsworth,John Francis Daley|Jonathan M. Goldstein,What could go wrong?,99,Adventure|Comedy,2015-07-28,2015
86,35000000,95437994,60437994,Poltergeist,Sam Rockwell|Rosemarie DeWitt|Saxon Sharbino|Kyle Catlett|Kennedi Clements,Gil Kenan,They're Here. And They Know What Scares You.,93,Horror|Thriller,2015-05-20,2015
87,4000000,187112,-3812888,Maggie,Arnold Schwarzenegger|Abigail Breslin|Joely Richardson|Laura Cayouette|J.D. Evermore,Henry Hobson,Don't Get Bitten,95,Horror,2015-05-08,2015
89,50000000,3324330,-46675670,Child 44,Tom Hardy|Gary Oldman|Noomi Rapace|Joel Kinnaman|Paddy Considine,Daniel Espinosa,How do you find a killer who doesnâ€™t exist?,137,Crime|Thriller,2015-03-15,2015
90,5000000,58978653,53978653,The Gift,Jason Bateman|Rebecca Hall|Joel Edgerton|David Denman|Beau Knapp,Joel Edgerton,Not every gift is welcome.,108,Thriller|Mystery,2015-07-30,2015
91,50000000,240360392,190360392,Daddy's Home,Will Ferrell|Mark Wahlberg|Linda Cardellini|Thomas Haden Church|Hannibal Buress,Sean Anders,Choose your Daddy,96,Comedy,2015-12-25,2015
94,64000000,97571250,33571250,The Little Prince,Jeff Bridges|Rachel McAdams|Paul Rudd|Marion Cotillard|James Franco,Mark Osborne,Growing up isn't the problem... forgetting is.,92,Adventure|Animation|Fantasy,2015-07-29,2015
96,11930000,18340000,6410000,The Dressmaker,Kate Winslet|Liam Hemsworth|Caroline Goodall|Judy Davis|Hayley Magnus,Jocelyn Moorhouse,Revenge is back in fashion,118,Drama,2015-10-01,2015
97,8500000,43528634,35028634,The DUFF,Mae Whitman|Robbie Amell|Bella Thorne|Bianca A. Santos|Skyler Samuels,Ari Sandel,"You either know one, you have one, or you are one.",100,Romance|Comedy,2015-02-20,2015
98,10000000,52882018,42882018,Sinister 2,Shannyn Sossamon|James Ransone|Tate Ellington|Nicholas King|Lucas Jade Zumann,Ciaran Foy,"Be careful, children at play.",97,Horror,2015-08-19,2015
99,30000000,107597242,77597242,Paul Blart: Mall Cop 2,Kevin James|Raini Rodriguez|Eduardo VerÃ¡stegui|Daniella Alonso|Neal McDonough,Andy Fickman,Vegas has a new high roller.,94,Action|Adventure|Comedy|Family,2015-04-16,2015
102,4000000,50163103,46163103,The Boy Next Door,Jennifer Lopez|Ryan Guzman|Ian Nelson|John Corbett|Kristin Chenoweth,Rob Cohen,A Moment She Couldn't Resist. An Obsession He Can't Control.,91,Thriller,2015-01-23,2015
104,30000000,49263404,19263404,Entourage,Jeremy Piven|Adrian Grenier|Jerry Ferrara|Kevin Connolly|Kevin Dillon,Doug Ellin,Dream Large. Live Larger.,104,Comedy,2015-06-03,2015
105,23000000,79799880,56799880,The Wedding Ringer,Kevin Hart|Josh Gad|Kaley Cuoco|Affion Crockett|Jorge Garcia,Jeremy Garelick,He's the best man... money can buy.,101,Comedy,2015-01-16,2015
106,15000000,14860766,-139234,Scouts Guide to the Zombie Apocalypse,Tye Sheridan|Logan Miller|Joey Morgan|Sarah Dumont|David Koechner,Christopher B. Landon,Always bring protection.,93,Comedy|Horror,2015-10-23,2015
107,5000000,98450062,93450062,The Visit,Olivia DeJonge|Ed Oxenbould|Kathryn Hahn|Benjamin Kanes|Deanna Dunagan,M. Night Shyamalan,No one loves you like your grandparents.,94,Horror|Thriller,2015-09-10,2015
108,53000000,99775678,46775678,Black Mass,Johnny Depp|Joel Edgerton|Benedict Cumberbatch|Dakota Johnson|Kevin Bacon,Scott Cooper,Keep your enemies close.,122,Crime|Drama,2015-09-04,2015
109,8900000,50136,-8849864,Heist,Jeffrey Dean Morgan|Robert De Niro|Kate Bosworth|Dave Bautista|Gina Carano,Scott Mann,Never make a bet you can't afford to lose.,93,Crime|Action|Thriller,2015-11-13,2015
110,15000000,61548707,46548707,Krampus,Adam Scott|Toni Collette|Allison Tolman|David Koechner|Emjay Anthony,Michael Dougherty,You don't want to be on his list.,98,Horror|Comedy|Fantasy,2015-11-26,2015
111,20000000,208588,-19791412,Dark Places,Charlize Theron|Nicholas Hoult|Christina Hendricks|ChloÃ« Grace Moretz|Tye Sheridan,Gilles Paquet-Brenner,"In 1985, her entire family was murdered. 30 years later, the truth emerges.",113,Drama|Mystery|Thriller,2015-03-31,2015
112,5000000,54418872,49418872,No Escape,Owen Wilson|Lake Bell|Pierce Brosnan|Sterling Jerins|Spencer Garrett,John Erick Dowdle,No rescue. No refuge.,103,Action|Thriller,2015-08-26,2015
113,700000,17986781,17286781,Dope,Shameik Moore|Kiersey Clemons|Tony Revolori|ZoÃ« Kravitz|Chanel Iman,Rick Famuyiwa,It's hard out here for a geek.,103,Crime|Drama|Comedy,2015-06-19,2015
114,28000000,28208085,208085,American Ultra,Jesse Eisenberg|Kristen Stewart|Topher Grace|Connie Britton|Walton Goggins,Nima Nourizadeh,Everyone's getting smoked.,96,Comedy|Action,2015-08-19,2015
115,11000000,61619773,50619773,Woman in Gold,Helen Mirren|Ryan Reynolds|Tatiana Maslany|Katie Holmes|Max Irons,Simon Curtis,Justice is Priceless.,120,Drama,2015-04-10,2015
117,30000000,105011053,75011053,Sisters,Tina Fey|Amy Poehler|John Leguizamo|Ike Barinholtz|Maya Rudolph,Jason Moore,Big sisters don't always know best.,118,Comedy,2015-12-18,2015
118,12000000,32248241,20248241,Project Almanac,Jonny Weston|Virginia Gardner|Sofia Black-D'Elia|Sam Lerner|Allen Evangelista,Dean Israelite,Today is better the second time around,106,Science Fiction|Thriller,2015-01-30,2015
120,25000000,72629670,47629670,The Transporter Refueled,Ed Skrein|Ray Stevenson|Loan Chabanol|Gabriella Wright|Tatjana PajkoviÄ‡,Camille Delamarre,He Delivers.,96,Thriller|Action|Crime,2015-09-03,2015
121,55000000,74679822,19679822,Crimson Peak,Mia Wasikowska|Jessica Chastain|Tom Hiddleston|Charlie Hunnam|Jim Beaver,Guillermo del Toro,Beware.,119,Mystery|Thriller|Fantasy|Horror|Drama,2015-10-13,2015
123,14800000,122413057,107613057,Magic Mike XXL,Channing Tatum|Matt Bomer|Joe Manganiello|Kevin Nash|Adam RodrÃ­guez,Gregory Jacobs,Back to the grind.,115,Comedy|Drama|Music,2015-07-01,2015
124,10000000,78099553,68099553,Paranormal Activity: The Ghost Dimension,Chris J. Murray|Brit Shaw|Ivy George|Lauren Frandsen|Tyler Craig,Gregory Plotkin,You can't save them. All you can do is watch.,88,Horror|Thriller,2015-10-21,2015
126,15000000,8235661,-6764339,Trumbo,Bryan Cranston|Diane Lane|Helen Mirren|Elle Fanning|Louis C.K.,Jay Roach,Are you now or have you ever been...,124,Drama,2015-10-27,2015
127,19500000,32189727,12689727,Secret in Their Eyes,Chiwetel Ejiofor|Nicole Kidman|Julia Roberts|Dean Norris|Lyndon Smith,Billy Ray,Don't look back,111,Crime|Drama|Mystery,2015-10-14,2015
129,74000000,311594032,237594032,The SpongeBob Movie: Sponge Out of Water,Tom Kenny|Bill Fagerbakke|Rodger Bumpass|Clancy Brown|Carolyn Lawrence,Paul Tibbitt,He's leaving his world behind.,93,Family|Animation,2015-02-05,2015
131,20000000,43967255,23967255,Max,Thomas Haden Church|Josh Wiggins|Lauren Graham|Robbie Amell|Mia Xitlali,Boaz Yakin,Best Friend. Hero. Marine.,111,Adventure|Drama|Family,2015-06-26,2015
135,40000000,10664749,-29335251,The Gunman,Sean Penn|Jasmine Trinca|Javier Bardem|Ray Winstone|Mark Rylance,Pierre Morel,Armed With the Truth.,115,Action|Drama|Crime,2015-02-16,2015
136,1000000,62882090,61882090,Unfriended,Shelley Hennig|Moses Jacob Storm|Renee Olstead|William Peltz|Jacob Wysocki,Levan Gabriadze,"Online, your memories last forever. But so do your mistakes.",82,Horror|Thriller,2015-04-17,2015
137,35000000,51680201,16680201,Hot Pursuit,Reese Witherspoon|SofÃ­a Vergara|Michael Mosley|John Carroll Lynch|Richard T. Jones,Anne Fletcher,Armed and Sort-of Dangerous.,87,Action|Crime|Comedy,2015-05-08,2015
138,10000000,104303851,94303851,Insidious: Chapter 3,Dermot Mulroney|Stefanie Scott|Lin Shaye|Leigh Whannell|Angus Sampson,Leigh Whannell,This is how you die,97,Drama|Horror|Thriller,2015-06-04,2015
141,6000000,41387687,35387687,The Lady in the Van,Maggie Smith|Alex Jennings|Frances de la Tour|Gwen Taylor|Dominic Cooper,Nicholas Hytner,A mostly true story,104,Comedy|Drama,2015-11-13,2015
142,40000000,34227298,-5772702,Victor Frankenstein,James McAvoy|Daniel Radcliffe|Jessica Brown Findlay|Andrew Scott|Charles Dance,Paul McGuigan,Discover the origin of the monster and his creation.,109,Drama|Science Fiction|Thriller,2015-11-10,2015
144,8000000,3759286,-4240714,Anomalisa,Jennifer Jason Leigh|David Thewlis|Tom Noonan,Duke Johnson|Charlie Kaufman,,90,Animation|Comedy|Drama|Romance,2015-12-30,2015
150,2000000,1477002,-522998,The Diary of a Teenage Girl,Bel Powley|Kristen Wiig|Alexander SkarsgÃ¥rd|Christopher Meloni|Margarita Levieva,Marielle Heller,Some things are best kept secret.,102,Drama|Romance,2015-08-07,2015
155,11000000,27391084,16391084,Irrational Man,Emma Stone|Joaquin Phoenix|Jamie Blackley|Parker Posey|Meredith Hagner,Woody Allen,,95,Mystery|Drama,2015-07-17,2015
157,18000000,41325328,23325328,Ricki and the Flash,Meryl Streep|Kevin Kline|Mamie Gummer|Sebastian Stan|Audra McDonald,Jonathan Demme,Get Ready for Ricki.,100,Comedy|Drama|Music,2015-07-10,2015
160,12000000,60273173,48273173,The Perfect Guy,Michael Ealy|Sanaa Lathan|Morris Chestnut|Kathryn Morris|Rutina Wesley,David M. Rosenthal,"Trust one, fear the other.",100,Drama|Thriller,2015-09-11,2015
162,10000000,7587485,-2412515,While We're Young,Ben Stiller|Naomi Watts|Adam Driver|Amanda Seyfried|Charles Grodin,Noah Baumbach,Life Never Gets Old.,97,Drama|Comedy,2015-03-27,2015
163,40000000,106511453,66511453,Get Hard,Will Ferrell|Kevin Hart|Alison Brie|Craig T. Nelson|T.I.,Etan Cohen,An education in incarceration.,100,Comedy,2015-03-26,2015
